523 8988
SET 2 285
FLIP 2 93
SET 2 357
XOR 1 2
AND 2 1
AND 2 1
XOR 1 2
XOR 2 1
OR 1 2
XOR 1 2
SET 1 358
SET 1 359
OR 2 1
SET 1 127
FLIP 2 254
XOR 1 2
AND 2 1
SET 2 60
OR 2 1
XOR 2 1
FLIP 2 502
FLIP 1 248
OR 2 1
OR 2 1
AND 2 1
XOR 1 2
OR 2 1
OR 1 2
FLIP 1 437
OR 1 2
FLIP 1 294
OR 1 2
OR 1 2
AND 2 1
SET 2 493
FLIP 2 174
AND 2 1
SET 2 303
FLIP 1 238
OR 2 1
FLIP 2 358
SET 1 147
XOR 2 1
OR 1 2
SET 1 8
XOR 1 2
FLIP 2 467
XOR 1 2
SET 2 139
FLIP 2 298
AND 2 1
SET 2 101
AND 1 2
OR 1 2
AND 1 2
FLIP 2 462
OR 2 1
SET 2 173
OR 1 2
SET 2 163
OR 2 1
AND 1 2
XOR 1 2
OR 1 2
AND 1 2
XOR 1 2
XOR 2 1
SET 2 106
SET 1 323
SET 1 291
AND 2 1
OR 2 1
FLIP 1 486
OR 2 1
XOR 2 1
SET 1 404
AND 2 1
AND 2 1
XOR 2 1
OR 2 1
XOR 2 1
SET 1 37
XOR 1 2
OR 2 1
SET 1 321
OR 1 2
FLIP 1 192
FLIP 1 243
OR 2 1
XOR 1 2
AND 1 2
FLIP 1 432
FLIP 2 116
FLIP 2 492
AND 1 2
OR 2 1
XOR 1 2
FLIP 2 194
XOR 1 2
OR 2 1
XOR 1 2
FLIP 2 518
AND 1 2
SET 2 257
FLIP 1 494
SET 2 290
SET 1 322
FLIP 1 204
SET 1 313
SET 1 495
AND 1 2
FLIP 1 66
OR 2 1
AND 1 2
XOR 1 2
SET 1 153
FLIP 2 10
FLIP 2 464
SET 1 429
SET 1 442
FLIP 2 492
OR 1 2
AND 1 2
OR 2 1
OR 2 1
OR 2 1
OR 1 2
XOR 1 2
FLIP 1 436
FLIP 2 81
OR 2 1
SET 2 99
OR 2 1
XOR 1 2
AND 2 1
OR 2 1
SET 1 325
AND 1 2
OR 2 1
OR 1 2
OR 1 2
AND 1 2
OR 2 1
XOR 2 1
AND 1 2
XOR 2 1
SET 1 234
FLIP 2 429
AND 1 2
AND 1 2
XOR 2 1
AND 2 1
SET 2 409
OR 2 1
FLIP 1 355
XOR 2 1
SET 1 161
FLIP 2 302
XOR 1 2
OR 2 1
SET 1 96
SET 2 141
XOR 2 1
OR 1 2
FLIP 1 276
SET 2 338
AND 1 2
AND 2 1
FLIP 2 187
AND 2 1
AND 2 1
SET 2 409
FLIP 2 407
OR 1 2
AND 2 1
SET 2 90
XOR 1 2
XOR 2 1
FLIP 2 206
OR 2 1
XOR 1 2
AND 2 1
SET 2 185
AND 2 1
AND 1 2
OR 2 1
AND 2 1
AND 2 1
SET 1 182
AND 1 2
SET 1 21
AND 2 1
AND 1 2
AND 2 1
OR 2 1
SET 2 193
SET 1 40
OR 1 2
SET 2 57
SET 1 363
SET 1 150
SET 1 192
FLIP 1 296
FLIP 1 231
XOR 1 2
SET 1 346
AND 1 2
OR 1 2
FLIP 1 281
SET 1 500
SET 2 278
SET 2 371
XOR 1 2
SET 2 249
OR 1 2
OR 2 1
OR 2 1
AND 2 1
OR 2 1
AND 1 2
FLIP 1 148
OR 1 2
OR 1 2
OR 2 1
SET 1 486
SET 2 440
XOR 2 1
XOR 1 2
AND 2 1
OR 1 2
FLIP 2 494
OR 2 1
OR 1 2
FLIP 2 221
OR 2 1
SET 1 454
FLIP 2 292
XOR 1 2
SET 2 347
AND 1 2
OR 2 1
FLIP 2 403
AND 2 1
XOR 1 2
FLIP 1 74
SET 1 114
OR 1 2
AND 1 2
XOR 2 1
XOR 1 2
AND 2 1
SET 1 281
XOR 2 1
SET 2 353
FLIP 2 338
XOR 2 1
OR 2 1
OR 2 1
AND 1 2
XOR 1 2
AND 1 2
SET 2 281
XOR 1 2
AND 1 2
FLIP 1 194
AND 2 1
FLIP 2 325
FLIP 1 37
SET 2 202
FLIP 2 348
XOR 1 2
XOR 1 2
OR 2 1
XOR 1 2
SET 1 132
SET 1 263
AND 2 1
XOR 1 2
OR 2 1
AND 1 2
XOR 2 1
SET 2 299
AND 2 1
SET 2 219
XOR 1 2
OR 1 2
AND 1 2
XOR 2 1
SET 1 129
OR 1 2
OR 1 2
XOR 2 1
AND 1 2
OR 1 2
SET 1 464
FLIP 1 5
OR 1 2
OR 2 1
SET 2 313
XOR 1 2
AND 1 2
XOR 1 2
OR 1 2
FLIP 1 305
FLIP 2 345
AND 2 1
FLIP 1 355
XOR 1 2
XOR 1 2
AND 1 2
SET 1 43
AND 2 1
AND 1 2
OR 1 2
XOR 2 1
AND 2 1
SET 2 227
OR 2 1
FLIP 2 485
AND 2 1
XOR 2 1
XOR 1 2
XOR 2 1
AND 1 2
FLIP 1 71
OR 2 1
FLIP 2 119
AND 2 1
AND 1 2
AND 2 1
OR 1 2
SET 1 405
FLIP 1 185
XOR 2 1
OR 1 2
XOR 2 1
XOR 2 1
XOR 1 2
OR 1 2
AND 2 1
XOR 2 1
OR 2 1
FLIP 1 519
XOR 2 1
OR 1 2
FLIP 2 108
XOR 1 2
XOR 2 1
OR 2 1
OR 2 1
AND 1 2
XOR 2 1
OR 1 2
FLIP 2 465
XOR 2 1
SET 2 426
FLIP 1 160
OR 1 2
AND 1 2
OR 1 2
FLIP 1 175
AND 1 2
FLIP 2 515
FLIP 1 2
SET 2 399
FLIP 2 61
AND 2 1
SET 2 317
XOR 2 1
FLIP 2 326
AND 2 1
OR 2 1
AND 1 2
FLIP 2 276
OR 1 2
XOR 1 2
FLIP 2 116
SET 2 501
AND 2 1
XOR 1 2
SET 1 76
XOR 1 2
FLIP 1 1
FLIP 1 99
FLIP 1 358
OR 1 2
SET 2 510
OR 1 2
SET 2 449
XOR 1 2
AND 2 1
XOR 2 1
OR 2 1
SET 2 225
FLIP 1 372
XOR 2 1
FLIP 2 258
FLIP 2 94
SET 1 369
FLIP 2 472
SET 1 380
FLIP 2 279
SET 2 143
XOR 1 2
OR 2 1
AND 2 1
FLIP 2 456
SET 1 406
FLIP 2 156
OR 1 2
AND 1 2
FLIP 2 504
OR 1 2
XOR 2 1
OR 1 2
FLIP 2 244
SET 1 484
FLIP 1 186
FLIP 2 11
AND 2 1
AND 2 1
SET 1 384
AND 2 1
XOR 1 2
AND 2 1
OR 1 2
XOR 1 2
OR 2 1
OR 2 1
SET 1 63
FLIP 2 507
FLIP 2 144
OR 1 2
SET 2 161
XOR 1 2
AND 2 1
AND 1 2
OR 2 1
XOR 1 2
AND 1 2
SET 2 178
FLIP 2 263
AND 1 2
FLIP 1 109
FLIP 2 211
FLIP 1 142
AND 2 1
AND 2 1
FLIP 1 39
FLIP 2 395
XOR 1 2
FLIP 2 83
FLIP 2 319
AND 1 2
XOR 2 1
XOR 2 1
SET 1 437
FLIP 2 357
FLIP 2 278
FLIP 1 381
FLIP 2 94
AND 1 2
XOR 1 2
OR 2 1
XOR 2 1
AND 2 1
OR 2 1
SET 2 503
AND 1 2
XOR 2 1
FLIP 1 360
OR 1 2
AND 2 1
AND 1 2
FLIP 1 451
AND 1 2
AND 1 2
OR 1 2
AND 1 2
OR 1 2
AND 1 2
SET 1 510
OR 1 2
OR 1 2
FLIP 2 95
FLIP 1 23
OR 2 1
XOR 2 1
FLIP 1 434
XOR 1 2
XOR 1 2
SET 1 101
FLIP 2 129
OR 2 1
XOR 1 2
FLIP 1 308
AND 1 2
XOR 1 2
OR 1 2
FLIP 2 216
FLIP 1 390
FLIP 2 384
SET 1 499
OR 1 2
SET 2 163
XOR 2 1
FLIP 1 17
AND 1 2
OR 1 2
FLIP 2 335
AND 1 2
AND 2 1
SET 2 156
SET 1 330
OR 2 1
XOR 2 1
SET 2 245
SET 2 517
XOR 1 2
SET 1 344
OR 1 2
SET 2 38
AND 1 2
SET 2 503
FLIP 2 61
OR 2 1
AND 1 2
AND 1 2
FLIP 1 500
AND 1 2
FLIP 1 308
XOR 1 2
FLIP 1 366
OR 1 2
SET 2 395
AND 1 2
AND 2 1
OR 1 2
AND 1 2
XOR 1 2
FLIP 2 399
SET 1 365
FLIP 1 385
XOR 2 1
OR 2 1
XOR 1 2
AND 1 2
FLIP 2 437
XOR 2 1
AND 1 2
SET 1 287
XOR 2 1
XOR 2 1
XOR 2 1
XOR 2 1
SET 1 218
SET 1 478
AND 1 2
AND 2 1
FLIP 1 473
FLIP 1 434
XOR 2 1
XOR 1 2
FLIP 1 11
SET 1 89
OR 2 1
OR 2 1
AND 2 1
AND 2 1
FLIP 1 301
OR 2 1
OR 1 2
XOR 2 1
SET 1 196
XOR 2 1
FLIP 2 103
FLIP 2 514
AND 2 1
SET 2 397
OR 1 2
SET 2 504
XOR 2 1
FLIP 2 356
FLIP 2 417
SET 1 70
AND 1 2
OR 1 2
XOR 2 1
AND 2 1
AND 2 1
AND 2 1
OR 1 2
AND 1 2
OR 2 1
SET 1 30
XOR 2 1
OR 1 2
AND 2 1
OR 2 1
SET 1 150
XOR 2 1
FLIP 2 250
OR 1 2
AND 2 1
FLIP 2 294
OR 1 2
AND 1 2
AND 2 1
XOR 1 2
XOR 2 1
AND 1 2
FLIP 1 15
SET 1 82
OR 2 1
SET 1 479
FLIP 1 149
SET 1 40
FLIP 2 253
OR 1 2
XOR 1 2
OR 2 1
SET 1 204
AND 2 1
XOR 1 2
FLIP 2 392
OR 1 2
OR 1 2
XOR 2 1
FLIP 2 300
SET 2 226
FLIP 2 267
OR 1 2
XOR 2 1
FLIP 2 115
XOR 1 2
FLIP 1 204
SET 1 150
SET 1 386
SET 1 103
SET 2 443
XOR 1 2
FLIP 1 453
SET 1 520
XOR 2 1
OR 2 1
XOR 2 1
SET 2 63
FLIP 2 94
AND 1 2
OR 1 2
AND 2 1
AND 1 2
OR 1 2
XOR 1 2
XOR 1 2
SET 1 243
OR 2 1
OR 1 2
AND 2 1
SET 1 43
XOR 2 1
XOR 1 2
AND 2 1
FLIP 1 501
FLIP 1 134
SET 2 145
AND 2 1
AND 1 2
AND 2 1
FLIP 1 351
FLIP 2 289
XOR 1 2
SET 1 437
OR 2 1
AND 2 1
XOR 2 1
SET 1 464
SET 2 19
OR 2 1
OR 2 1
AND 1 2
XOR 1 2
FLIP 1 42
SET 2 70
XOR 1 2
FLIP 2 357
OR 2 1
XOR 2 1
XOR 2 1
OR 2 1
FLIP 2 116
SET 2 451
OR 1 2
AND 1 2
OR 1 2
AND 2 1
FLIP 2 436
OR 2 1
AND 2 1
FLIP 2 195
XOR 2 1
OR 2 1
SET 2 127
XOR 1 2
AND 1 2
SET 1 200
XOR 2 1
XOR 1 2
AND 1 2
FLIP 2 281
FLIP 2 220
OR 2 1
AND 1 2
FLIP 2 440
XOR 2 1
XOR 1 2
SET 1 115
AND 2 1
OR 1 2
SET 1 158
SET 1 160
SET 1 315
SET 2 207
AND 2 1
SET 2 268
XOR 1 2
OR 2 1
OR 1 2
SET 1 163
XOR 1 2
FLIP 2 101
AND 1 2
AND 2 1
SET 2 324
AND 2 1
OR 1 2
OR 1 2
FLIP 2 109
AND 2 1
OR 2 1
AND 1 2
OR 1 2
FLIP 1 31
AND 1 2
FLIP 2 202
SET 1 36
OR 1 2
OR 1 2
XOR 1 2
FLIP 1 487
OR 1 2
OR 2 1
AND 1 2
SET 1 345
XOR 1 2
XOR 2 1
FLIP 1 330
SET 2 133
XOR 1 2
OR 2 1
AND 1 2
OR 2 1
SET 2 13
XOR 1 2
FLIP 1 439
XOR 1 2
XOR 2 1
SET 2 17
XOR 1 2
XOR 1 2
FLIP 1 471
FLIP 2 268
FLIP 2 174
FLIP 1 126
SET 1 191
FLIP 2 43
AND 2 1
SET 2 364
SET 1 164
XOR 2 1
XOR 1 2
SET 2 361
XOR 1 2
FLIP 1 512
XOR 2 1
FLIP 1 456
XOR 2 1
SET 2 184
AND 1 2
OR 2 1
XOR 1 2
FLIP 2 159
SET 2 8
OR 1 2
SET 2 55
FLIP 2 282
OR 2 1
OR 2 1
AND 1 2
OR 1 2
XOR 2 1
FLIP 1 365
XOR 2 1
SET 1 469
XOR 1 2
AND 2 1
AND 2 1
OR 2 1
OR 2 1
AND 1 2
OR 1 2
XOR 1 2
FLIP 1 409
AND 2 1
XOR 1 2
AND 2 1
XOR 2 1
OR 1 2
XOR 2 1
SET 1 360
SET 2 146
SET 2 22
XOR 1 2
FLIP 2 324
XOR 1 2
AND 1 2
AND 1 2
XOR 1 2
FLIP 1 29
SET 1 215
AND 1 2
SET 1 373
OR 2 1
OR 2 1
XOR 2 1
OR 1 2
XOR 2 1
SET 1 160
OR 2 1
OR 2 1
AND 1 2
FLIP 2 79
FLIP 1 8
AND 2 1
OR 1 2
AND 2 1
XOR 2 1
XOR 2 1
OR 1 2
OR 1 2
SET 2 240
AND 2 1
SET 2 346
XOR 2 1
SET 1 243
OR 2 1
OR 1 2
XOR 2 1
SET 2 374
AND 2 1
FLIP 2 472
OR 1 2
OR 2 1
OR 1 2
XOR 2 1
FLIP 1 513
XOR 1 2
OR 2 1
AND 2 1
OR 2 1
AND 2 1
XOR 1 2
OR 2 1
SET 1 374
FLIP 2 375
SET 2 68
FLIP 1 61
SET 2 215
SET 1 437
SET 2 265
OR 1 2
OR 1 2
XOR 1 2
AND 2 1
OR 1 2
AND 2 1
OR 2 1
SET 1 191
XOR 1 2
XOR 2 1
AND 1 2
SET 2 413
FLIP 2 350
SET 2 178
OR 1 2
AND 2 1
FLIP 2 300
OR 2 1
FLIP 1 97
OR 2 1
XOR 2 1
AND 2 1
XOR 1 2
XOR 2 1
OR 2 1
SET 2 337
XOR 2 1
SET 2 261
OR 1 2
AND 1 2
OR 2 1
XOR 1 2
AND 1 2
OR 1 2
FLIP 1 90
XOR 1 2
OR 2 1
XOR 2 1
SET 2 500
SET 1 116
AND 2 1
SET 2 203
SET 1 124
FLIP 2 46
XOR 2 1
AND 1 2
OR 2 1
SET 2 278
OR 2 1
OR 2 1
XOR 2 1
XOR 1 2
OR 1 2
FLIP 2 163
OR 2 1
FLIP 1 108
XOR 2 1
SET 2 472
OR 1 2
SET 1 81
XOR 1 2
XOR 2 1
SET 2 128
SET 2 315
FLIP 2 328
AND 2 1
AND 2 1
AND 2 1
XOR 1 2
AND 2 1
SET 2 407
AND 1 2
FLIP 2 255
FLIP 1 444
SET 1 208
FLIP 2 220
SET 1 220
XOR 1 2
OR 1 2
SET 1 236
SET 1 430
AND 1 2
SET 2 18
OR 2 1
OR 1 2
OR 1 2
FLIP 1 326
FLIP 1 221
FLIP 1 297
XOR 2 1
FLIP 1 260
OR 1 2
XOR 2 1
AND 2 1
XOR 2 1
OR 2 1
FLIP 1 294
XOR 2 1
XOR 1 2
OR 1 2
XOR 1 2
XOR 2 1
OR 1 2
XOR 1 2
FLIP 1 328
SET 2 404
FLIP 2 437
FLIP 2 446
SET 1 135
SET 2 140
AND 1 2
OR 2 1
FLIP 2 360
FLIP 1 373
SET 2 302
AND 2 1
AND 2 1
FLIP 1 270
SET 1 498
XOR 2 1
AND 1 2
SET 2 253
AND 1 2
OR 2 1
OR 1 2
AND 1 2
FLIP 2 338
FLIP 1 258
XOR 1 2
AND 2 1
SET 2 251
OR 1 2
AND 1 2
FLIP 2 305
OR 1 2
SET 2 13
FLIP 1 226
SET 2 34
OR 1 2
OR 2 1
OR 1 2
OR 1 2
AND 2 1
FLIP 1 31
XOR 2 1
FLIP 2 359
SET 2 370
SET 1 486
AND 2 1
FLIP 1 320
XOR 1 2
OR 2 1
AND 1 2
AND 2 1
AND 1 2
SET 1 395
AND 1 2
XOR 1 2
SET 1 521
XOR 2 1
FLIP 2 217
OR 1 2
XOR 2 1
OR 1 2
FLIP 1 484
SET 1 103
OR 1 2
FLIP 1 90
XOR 1 2
FLIP 2 61
AND 1 2
AND 1 2
FLIP 2 368
SET 1 25
AND 2 1
FLIP 2 329
SET 1 2
AND 1 2
SET 2 510
FLIP 1 185
AND 1 2
XOR 2 1
AND 1 2
XOR 1 2
XOR 2 1
XOR 2 1
SET 1 374
OR 2 1
OR 2 1
XOR 2 1
XOR 2 1
SET 1 138
OR 1 2
FLIP 2 445
OR 2 1
AND 1 2
XOR 1 2
AND 2 1
FLIP 2 160
SET 2 488
OR 1 2
SET 2 358
OR 2 1
OR 1 2
FLIP 2 429
SET 2 435
FLIP 1 317
OR 2 1
XOR 2 1
XOR 1 2
SET 1 520
AND 1 2
XOR 2 1
OR 2 1
SET 2 30
OR 2 1
AND 1 2
XOR 1 2
SET 1 382
SET 2 136
AND 2 1
FLIP 1 484
OR 1 2
OR 2 1
OR 2 1
SET 2 18
OR 1 2
OR 1 2
SET 2 10
SET 1 453
OR 2 1
OR 1 2
AND 1 2
FLIP 1 429
XOR 1 2
FLIP 2 121
SET 1 96
SET 2 453
FLIP 1 373
FLIP 2 275
OR 2 1
SET 1 147
OR 1 2
FLIP 2 310
SET 1 397
XOR 1 2
OR 2 1
OR 1 2
OR 2 1
OR 1 2
AND 1 2
XOR 2 1
XOR 2 1
OR 2 1
XOR 1 2
OR 1 2
AND 1 2
SET 2 366
SET 1 38
OR 1 2
SET 2 480
FLIP 2 425
FLIP 2 224
AND 1 2
SET 2 436
XOR 2 1
SET 2 79
FLIP 1 341
OR 1 2
AND 1 2
XOR 1 2
FLIP 1 233
OR 1 2
AND 1 2
OR 1 2
AND 1 2
SET 1 452
OR 2 1
FLIP 2 143
XOR 2 1
AND 1 2
SET 1 430
AND 1 2
XOR 2 1
SET 1 53
FLIP 1 173
OR 2 1
XOR 2 1
XOR 1 2
XOR 2 1
FLIP 1 131
OR 1 2
AND 1 2
FLIP 2 341
SET 2 81
AND 1 2
FLIP 2 134
OR 2 1
OR 2 1
SET 1 208
SET 1 344
OR 1 2
XOR 2 1
OR 2 1
XOR 2 1
OR 1 2
FLIP 2 497
OR 2 1
SET 1 228
XOR 2 1
FLIP 2 329
XOR 2 1
SET 2 221
XOR 1 2
AND 1 2
XOR 2 1
OR 2 1
XOR 1 2
OR 2 1
XOR 1 2
FLIP 2 196
XOR 1 2
SET 2 361
SET 2 81
SET 2 287
OR 2 1
FLIP 2 298
FLIP 1 140
SET 2 118
SET 1 500
FLIP 2 98
SET 1 81
FLIP 1 186
XOR 2 1
SET 2 164
OR 2 1
XOR 2 1
FLIP 2 17
FLIP 2 136
FLIP 1 441
OR 1 2
XOR 1 2
OR 1 2
XOR 2 1
AND 1 2
SET 2 332
AND 1 2
FLIP 1 513
AND 1 2
SET 2 70
AND 2 1
SET 2 46
XOR 1 2
AND 2 1
OR 1 2
AND 1 2
OR 1 2
FLIP 1 119
XOR 2 1
OR 1 2
XOR 2 1
FLIP 1 412
XOR 2 1
SET 2 209
XOR 1 2
OR 1 2
FLIP 2 444
XOR 1 2
FLIP 1 453
SET 2 218
SET 2 158
SET 1 428
AND 1 2
SET 1 109
SET 1 191
FLIP 2 117
FLIP 2 26
AND 1 2
XOR 1 2
FLIP 1 219
OR 2 1
AND 1 2
SET 2 409
AND 1 2
SET 1 319
FLIP 2 200
SET 2 151
SET 2 321
AND 2 1
XOR 2 1
FLIP 2 513
SET 2 448
OR 2 1
FLIP 1 136
FLIP 2 477
AND 1 2
OR 1 2
XOR 2 1
OR 2 1
SET 2 420
OR 1 2
FLIP 2 94
AND 1 2
SET 1 4
SET 2 461
OR 1 2
XOR 2 1
FLIP 2 27
FLIP 1 505
FLIP 1 473
XOR 2 1
SET 1 151
FLIP 2 252
SET 2 177
OR 1 2
SET 1 28
XOR 2 1
FLIP 1 6
OR 2 1
XOR 1 2
SET 1 239
SET 2 26
SET 2 248
AND 1 2
SET 2 91
FLIP 1 521
FLIP 2 482
XOR 2 1
OR 1 2
SET 2 446
FLIP 2 241
XOR 2 1
XOR 1 2
SET 2 475
OR 1 2
SET 2 435
OR 1 2
XOR 1 2
OR 1 2
FLIP 1 125
XOR 2 1
XOR 2 1
OR 1 2
SET 1 358
AND 2 1
SET 1 147
SET 2 203
AND 1 2
OR 2 1
AND 2 1
FLIP 1 32
OR 2 1
AND 1 2
SET 1 209
OR 2 1
AND 1 2
FLIP 1 10
XOR 2 1
AND 2 1
SET 1 479
XOR 2 1
AND 2 1
OR 1 2
FLIP 2 25
XOR 1 2
FLIP 1 496
XOR 2 1
SET 1 266
OR 1 2
XOR 1 2
AND 2 1
SET 1 323
XOR 2 1
FLIP 2 382
XOR 1 2
FLIP 2 322
FLIP 1 256
XOR 1 2
XOR 2 1
OR 1 2
OR 2 1
SET 2 127
SET 1 401
XOR 2 1
OR 1 2
SET 1 3
XOR 1 2
SET 1 198
AND 1 2
XOR 1 2
AND 1 2
SET 2 484
FLIP 1 412
XOR 1 2
XOR 1 2
OR 2 1
OR 1 2
XOR 1 2
AND 1 2
AND 2 1
SET 1 248
FLIP 2 336
AND 2 1
AND 2 1
FLIP 1 31
OR 2 1
OR 2 1
FLIP 1 385
FLIP 1 367
AND 2 1
OR 2 1
SET 2 309
AND 2 1
AND 1 2
FLIP 2 491
SET 1 72
AND 1 2
SET 1 192
SET 2 128
SET 2 472
AND 2 1
XOR 2 1
SET 2 513
OR 2 1
AND 2 1
AND 2 1
SET 2 50
XOR 1 2
SET 1 417
FLIP 1 35
OR 1 2
OR 2 1
SET 1 397
FLIP 2 366
FLIP 1 182
FLIP 1 190
XOR 2 1
OR 2 1
AND 1 2
XOR 2 1
FLIP 2 179
AND 2 1
SET 2 508
SET 1 155
XOR 2 1
SET 1 484
FLIP 1 117
XOR 2 1
XOR 2 1
OR 1 2
XOR 2 1
FLIP 2 349
FLIP 2 391
AND 1 2
XOR 2 1
OR 2 1
OR 2 1
AND 2 1
OR 2 1
FLIP 2 478
XOR 2 1
XOR 1 2
AND 1 2
OR 2 1
XOR 1 2
XOR 1 2
XOR 1 2
XOR 1 2
AND 1 2
OR 1 2
XOR 2 1
SET 1 171
SET 1 458
FLIP 2 460
FLIP 1 370
AND 1 2
AND 1 2
AND 1 2
XOR 1 2
FLIP 2 42
XOR 1 2
OR 1 2
OR 2 1
XOR 1 2
AND 1 2
FLIP 1 11
OR 2 1
OR 1 2
OR 1 2
SET 1 502
OR 1 2
SET 1 78
AND 2 1
OR 2 1
SET 1 206
AND 2 1
FLIP 1 518
FLIP 1 212
XOR 2 1
SET 2 481
OR 2 1
SET 2 207
OR 2 1
AND 2 1
OR 2 1
XOR 1 2
SET 2 432
AND 2 1
SET 2 104
FLIP 2 379
XOR 1 2
AND 1 2
XOR 1 2
OR 1 2
XOR 2 1
SET 2 136
XOR 1 2
OR 2 1
AND 1 2
OR 2 1
SET 2 393
SET 1 123
SET 1 110
XOR 1 2
OR 1 2
SET 1 254
OR 1 2
AND 2 1
XOR 1 2
FLIP 1 95
XOR 2 1
XOR 1 2
XOR 2 1
FLIP 1 520
AND 2 1
OR 2 1
FLIP 2 391
OR 2 1
AND 1 2
AND 2 1
FLIP 1 296
OR 1 2
XOR 1 2
OR 1 2
OR 1 2
XOR 2 1
XOR 2 1
SET 1 286
AND 2 1
FLIP 2 269
SET 1 349
FLIP 1 374
AND 2 1
XOR 1 2
FLIP 1 495
AND 1 2
AND 2 1
FLIP 2 376
SET 2 404
FLIP 1 410
AND 2 1
SET 2 363
SET 1 346
OR 2 1
FLIP 1 368
FLIP 1 504
SET 1 195
XOR 1 2
FLIP 2 218
XOR 1 2
AND 2 1
XOR 1 2
XOR 1 2
FLIP 1 46
XOR 2 1
AND 1 2
AND 1 2
XOR 2 1
XOR 1 2
AND 2 1
XOR 2 1
OR 2 1
OR 2 1
SET 1 267
FLIP 2 333
OR 2 1
FLIP 1 402
SET 2 216
FLIP 1 468
SET 2 478
OR 1 2
FLIP 1 388
FLIP 1 318
FLIP 1 279
SET 1 340
XOR 2 1
XOR 1 2
SET 2 286
OR 1 2
SET 2 466
SET 2 456
XOR 2 1
OR 2 1
AND 1 2
XOR 2 1
AND 1 2
OR 1 2
AND 1 2
OR 2 1
OR 2 1
SET 1 289
SET 1 196
SET 1 435
SET 2 403
SET 2 183
XOR 1 2
SET 1 205
SET 2 437
AND 1 2
XOR 2 1
XOR 2 1
SET 1 251
XOR 2 1
XOR 1 2
AND 1 2
FLIP 2 10
OR 2 1
XOR 1 2
SET 1 469
OR 2 1
SET 2 61
FLIP 1 228
XOR 2 1
XOR 1 2
SET 2 193
XOR 1 2
OR 2 1
FLIP 1 103
FLIP 1 354
AND 2 1
XOR 2 1
FLIP 1 377
OR 1 2
FLIP 1 42
FLIP 2 195
XOR 1 2
SET 1 72
FLIP 1 379
XOR 2 1
SET 1 146
AND 1 2
FLIP 1 148
FLIP 1 161
SET 1 406
OR 2 1
FLIP 1 135
FLIP 2 130
SET 2 28
SET 2 291
XOR 2 1
XOR 1 2
SET 2 205
OR 2 1
AND 2 1
XOR 1 2
AND 1 2
FLIP 2 128
OR 2 1
FLIP 1 445
FLIP 2 366
OR 2 1
XOR 1 2
FLIP 2 415
OR 1 2
FLIP 1 58
AND 2 1
XOR 2 1
XOR 2 1
SET 1 431
XOR 2 1
FLIP 2 264
